timestamp,role,player,card,clue,action,vote,error
2024-08-30T05:39:33.821535,player,AI Bot 2,,,choose_card,,
2024-08-30T05:39:33.916535,player,AI Bot 1,,,vote,,
2024-08-30T05:39:34.012206,player,AI Bot 2,,,vote,,
2024-08-30T05:39:36.004130,storyteller,AI Bot 1,data/images/cards/card_00005.jpg,"""An ethereal dance of colors and shapes, suspended in a digital realm, challenging the viewer's",,,
2024-08-30T05:39:36.004978,player,AI Bot 2,,,choose_card,,
2024-08-30T05:39:36.005582,player,AI Bot 3,,,choose_card,,
2024-08-30T05:39:36.267073,player,AI Bot 2,,,vote,,
2024-08-30T05:39:36.371464,player,AI Bot 3,,,vote,,
2024-08-30T05:39:37.014449,storyteller,AI Bot 2,data/images/cards/card_00030.jpg,"""Dream Weaver's Loom""",,,
2024-08-30T05:39:37.015219,player,AI Bot 1,,,choose_card,,
2024-08-30T05:39:37.015822,player,AI Bot 3,,,choose_card,,
2024-08-30T05:39:37.104539,player,AI Bot 1,,,vote,,
2024-08-30T05:39:37.190588,player,AI Bot 3,,,vote,,
2024-08-30T05:51:29.879060,storyteller,AI Bot 1,data/images/cards/card_00069.jpg,"""Digital snapshot of elusive 69th game card""",,,
2024-08-30T05:51:29.887265,player,AI Bot 2,,,choose_card,,
2024-08-30T05:51:29.888258,player,AI Bot 3,,,choose_card,,
2024-08-30T05:51:30.633365,player,AI Bot 2,,,vote,,
2024-08-30T05:51:30.735911,player,AI Bot 3,,,vote,,
2024-08-30T05:51:31.878018,storyteller,AI Bot 2,data/images/cards/card_00029.jpg,"In a realm where pixels meet and merge,
Twenty-nine of its kind quietly emerge.
A digital tape",,,
2024-08-30T05:51:31.878962,player,AI Bot 1,,,choose_card,,
2024-08-30T05:51:31.879725,player,AI Bot 3,,,choose_card,,
2024-08-30T05:51:31.988441,player,AI Bot 1,,,vote,,
2024-08-30T05:51:32.091153,player,AI Bot 3,,,vote,,
2024-08-30T05:51:32.724778,storyteller,AI Bot 3,data/images/cards/card_00007.jpg,"""Seventh visual information in a deck""",,,
2024-08-30T05:51:32.725553,player,AI Bot 1,,,choose_card,,
2024-08-30T05:51:32.726304,player,AI Bot 2,,,choose_card,,
2024-08-30T05:51:32.815461,player,AI Bot 1,,,vote,,
2024-08-30T05:51:32.907216,player,AI Bot 2,,,vote,,
2024-08-30T05:51:33.467320,storyteller,AI Bot 1,data/images/cards/card_00013.jpg,"""Whispering Shadows""",,,
2024-08-30T05:51:33.468253,player,AI Bot 2,,,choose_card,,
2024-08-30T05:51:33.469097,player,AI Bot 3,,,choose_card,,
2024-08-30T05:51:33.553152,player,AI Bot 2,,,vote,,
2024-08-30T05:51:33.650244,player,AI Bot 3,,,vote,,
2024-08-30T05:51:35.193393,storyteller,AI Bot 2,data/images/cards/card_00029.jpg,"""Within the realm of pixels, a mystery unfurls,
A tableau frozen in binary, where reality",,,
2024-08-30T05:51:35.194362,player,AI Bot 1,,,choose_card,,
2024-08-30T05:51:35.195166,player,AI Bot 3,,,choose_card,,
2024-08-30T05:51:35.281596,player,AI Bot 1,,,vote,,
2024-08-30T05:51:35.366078,player,AI Bot 3,,,vote,,
2024-08-30T05:51:36.525812,storyteller,AI Bot 3,data/images/cards/card_00007.jpg,"""A solitary king ruling over the kingdom of hearts, dressed in rich hues of red and gold.""",,,
2024-08-30T05:51:36.527065,player,AI Bot 1,,,choose_card,,
2024-08-30T05:51:36.527999,player,AI Bot 2,,,choose_card,,
2024-08-30T05:51:36.609950,player,AI Bot 1,,,vote,,
2024-08-30T05:51:36.701064,player,AI Bot 2,,,vote,,
2024-08-30T05:51:37.400656,storyteller,AI Bot 1,data/images/cards/card_00069.jpg,"""Galactic Serenade""",,,
2024-08-30T05:51:37.401905,player,AI Bot 2,,,choose_card,,
2024-08-30T05:51:37.402824,player,AI Bot 3,,,choose_card,,
2024-08-30T05:51:37.494318,player,AI Bot 2,,,vote,,
2024-08-30T05:51:37.590688,player,AI Bot 3,,,vote,,
2024-08-30T05:51:38.282329,storyteller,AI Bot 2,data/images/cards/card_00029.jpg,"""A mirrored reflection of an otherworldly voyage.""",,,
2024-08-30T05:51:38.283493,player,AI Bot 1,,,choose_card,,
2024-08-30T05:51:38.284549,player,AI Bot 3,,,choose_card,,
2024-08-30T05:51:38.370017,player,AI Bot 1,,,vote,,
2024-08-30T06:07:03.224410,storyteller,AI Bot 1,data/images/cards/card_00062.jpg,"""A silent melody frozen in time, etched into grooves of circular nostalgia.""",,,
2024-08-30T06:07:03.227321,player,AI Bot 2,,,choose_card,,
2024-08-30T06:07:03.228279,player,AI Bot 3,,,choose_card,,
2024-08-30T06:07:03.854960,player,AI Bot 2,,,vote,,
2024-08-30T06:07:03.967373,player,AI Bot 3,,,vote,,
2024-08-30T06:20:28.416244,storyteller,AI Bot 1,data/images/cards/card_00032.jpg,"""A regal feline cloaked in an autumnal hue, bearing the weight of a crown and",,,
2024-08-30T06:20:28.423162,player,AI Bot 2,,,choose_card,,
2024-08-30T06:20:28.424529,player,AI Bot 3,,,choose_card,,
2024-08-30T06:20:29.199824,player,AI Bot 2,,,vote,,
2024-08-30T06:20:29.300418,player,AI Bot 3,,,vote,,
2024-08-30T06:20:30.744449,storyteller,AI Bot 2,data/images/cards/card_00053.jpg,"""Through the lens of glass and time, lies an image unseen, yet divine. In numbers and",,,
2024-08-30T06:20:30.746039,player,AI Bot 1,,,choose_card,,
2024-08-30T06:20:30.747324,player,AI Bot 3,,,choose_card,,
2024-08-30T06:20:30.856527,player,AI Bot 1,,,vote,,
2024-08-30T06:20:30.968690,player,AI Bot 3,,,vote,,
2024-08-30T06:20:31.683716,storyteller,AI Bot 3,data/images/cards/card_00097.jpg,"""Whimsical Solitude""",,,
2024-08-30T06:20:31.685124,player,AI Bot 1,,,choose_card,,
2024-08-30T06:20:31.686288,player,AI Bot 2,,,choose_card,,
2024-08-30T06:20:31.773657,player,AI Bot 1,,,vote,,
2024-08-30T06:20:31.880314,player,AI Bot 2,,,vote,,
2024-08-30T06:20:32.619166,storyteller,AI Bot 1,data/images/cards/card_00030.jpg,"""Digital Dreamcatcher""",,,
2024-08-30T06:20:32.620703,player,AI Bot 2,,,choose_card,,
2024-08-30T06:20:32.621951,player,AI Bot 3,,,choose_card,,
2024-08-30T06:20:32.721450,player,AI Bot 2,,,vote,,
2024-08-30T06:20:32.828807,player,AI Bot 3,,,vote,,
2024-08-30T06:20:33.726395,storyteller,AI Bot 2,data/images/cards/card_00018.jpg,"""Digital file for eighteenth collectible in series""",,,
2024-08-30T06:20:33.727756,player,AI Bot 1,,,choose_card,,
2024-08-30T06:20:33.728961,player,AI Bot 3,,,choose_card,,
2024-08-30T06:20:33.828728,player,AI Bot 1,,,vote,,
2024-08-30T06:20:33.929321,player,AI Bot 3,,,vote,,
2024-08-30T06:20:35.303784,storyteller,AI Bot 3,data/images/cards/card_00097.jpg,"""A royal hand, holding the power of the universe, poised in a game of celestial poker.""",,,
2024-08-30T06:20:35.305492,player,AI Bot 1,,,choose_card,,
2024-08-30T06:20:35.306982,player,AI Bot 2,,,choose_card,,
2024-08-30T06:20:35.402723,player,AI Bot 1,,,vote,,
2024-08-30T06:20:35.502562,player,AI Bot 2,,,vote,,
2024-08-30T06:20:36.761119,storyteller,AI Bot 1,data/images/cards/card_00077.jpg,"""Peer into the realm of pixels and lines,
A ciphered tableau where truth intertwines.
Seek",,,
2024-08-30T06:20:36.762579,player,AI Bot 2,,,choose_card,,
2024-08-30T06:20:36.763853,player,AI Bot 3,,,choose_card,,
2024-08-30T06:20:36.850242,player,AI Bot 2,,,vote,,
2024-08-30T06:20:36.960779,player,AI Bot 3,,,vote,,
2024-08-30T06:20:37.923009,storyteller,AI Bot 2,data/images/cards/card_00018.jpg,"""Eighteenth visual file in card collection""",,,
2024-08-30T06:20:37.924596,player,AI Bot 1,,,choose_card,,
2024-08-30T06:20:37.925993,player,AI Bot 3,,,choose_card,,
2024-08-30T06:20:38.018489,player,AI Bot 1,,,vote,,
2024-08-30T06:23:08.391418,storyteller,AI Bot 1,data/images/cards/card_00032.jpg,"""Digital snapshot of the thirty-second playing card""",,,
2024-08-30T06:39:40.922919,storyteller,AI Bot 1,data/images/cards/card_00015.jpg,"In a realm where numbers dance with words, lies a portrait of unseen chords. An image locked in",,,
2024-08-30T06:39:40.931072,player,AI Bot 2,,,choose_card,,
2024-08-30T06:39:40.933447,player,AI Bot 3,,,choose_card,,
2024-08-30T06:39:41.844489,player,AI Bot 2,,,vote,,
2024-08-30T06:39:41.999715,player,AI Bot 3,,,vote,,
2024-08-30T06:39:45.663524,storyteller,AI Bot 2,data/images/cards/card_00049.jpg,"""Digital representation of the 49th playing card.""",,,
2024-08-30T06:39:45.665035,player,AI Bot 1,,,choose_card,,
2024-08-30T06:39:45.666426,player,AI Bot 3,,,choose_card,,
2024-08-30T06:39:46.084781,player,AI Bot 1,,,vote,,
2024-08-30T06:39:46.237460,player,AI Bot 3,,,vote,,
2024-08-30T06:39:46.956794,storyteller,AI Bot 3,data/images/cards/card_00034.jpg,"""Whispering Shadows""",,,
2024-08-30T06:39:46.958506,player,AI Bot 1,,,choose_card,,
2024-08-30T06:39:46.960173,player,AI Bot 2,,,choose_card,,
2024-08-30T06:39:47.108230,player,AI Bot 1,,,vote,,
2024-08-30T06:39:47.266851,player,AI Bot 2,,,vote,,
2024-08-30T06:39:47.983307,storyteller,AI Bot 1,data/images/cards/card_00076.jpg,"""Pixelated Dreams""",,,
2024-08-30T06:39:47.985144,player,AI Bot 2,,,choose_card,,
2024-08-30T06:39:47.986943,player,AI Bot 3,,,choose_card,,
2024-08-30T06:39:48.144008,player,AI Bot 2,,,vote,,
2024-08-30T06:39:48.297628,player,AI Bot 3,,,vote,,
2024-08-30T06:39:48.969155,storyteller,AI Bot 2,data/images/cards/card_00077.jpg,"""Dreamt Constellations""",,,
2024-08-30T06:39:48.971264,player,AI Bot 1,,,choose_card,,
2024-08-30T06:39:48.973054,player,AI Bot 3,,,choose_card,,
2024-08-30T06:39:49.110386,player,AI Bot 1,,,vote,,
2024-08-30T06:39:49.258085,player,AI Bot 3,,,vote,,
2024-08-30T06:39:50.559278,storyteller,AI Bot 3,data/images/cards/card_00056.jpg,"In realms of pixel, color, and light, a static scene of a digital night. A numbered",,,
2024-08-30T06:39:50.561521,player,AI Bot 1,,,choose_card,,
2024-08-30T06:39:50.563582,player,AI Bot 2,,,choose_card,,
2024-08-30T06:39:50.702815,player,AI Bot 1,,,vote,,
2024-08-30T06:39:50.846007,player,AI Bot 2,,,vote,,
2024-08-30T06:39:51.702820,storyteller,AI Bot 1,data/images/cards/card_00076.jpg,"""Digital snapshot of the 76th card""",,,
2024-08-30T06:39:51.704978,player,AI Bot 2,,,choose_card,,
2024-08-30T06:39:51.706991,player,AI Bot 3,,,choose_card,,
2024-08-30T06:39:51.847766,player,AI Bot 2,,,vote,,
2024-08-30T06:39:52.001214,player,AI Bot 3,,,vote,,
2024-08-30T06:39:53.117609,storyteller,AI Bot 2,data/images/cards/card_00077.jpg,"""Beyond the pixels, where colors blend,
Lies an image with a tale to send.
In",,,
2024-08-30T06:39:53.119513,player,AI Bot 1,,,choose_card,,
2024-08-30T06:39:53.121302,player,AI Bot 3,,,choose_card,,
2024-08-30T06:39:53.251761,player,AI Bot 1,,,vote,,
